device,batch,median_ms,p99_ms,min_ms,mean_ms,calls_per_sec,preds_per_sec
cpu,1,183.5927,306.1181,0.4427,142.4994,5.45,5.45
cpu,6,182.608,502.595,0.7266,214.4811,5.48,32.86
cpu,32,227.7697,245.1503,1.2075,177.9323,4.39,140.49
cpu,128,239.1721,253.7239,3.0179,211.15,4.18,535.18
cpu,1024,300.0283,332.2687,181.6149,297.4451,3.33,3413.01
cuda,1,0.3774,0.873,0.3536,0.4463,2649.78,2649.78
cuda,6,0.4036,0.9787,0.3804,0.5123,2477.42,14864.55
cuda,32,0.4999,0.6154,0.461,0.503,2000.35,64011.2
cuda,128,0.8505,1.167,0.7284,0.8732,1175.73,150493.25
cuda,1024,3.7457,9.4392,3.5136,3.9354,266.97,273377.26
